search_term,area,date,search_intensity
excel,China,2018-03-28,28219
excel,China,2018-03-29,28706
excel,China,2018-03-30,27019
excel,China,2018-03-31,16922
excel,China,2018-04-01,16597
excel,China,2018-04-02,32641
excel,China,2018-04-03,30984
excel,China,2018-04-04,26428
excel,China,2018-04-05,12360
excel,China,2018-04-06,12991
excel,China,2018-04-07,13679
excel,China,2018-04-08,27500
excel,China,2018-04-09,30443
excel,China,2018-04-10,30542
excel,China,2018-04-11,30598
excel,China,2018-04-12,30394
excel,China,2018-04-13,28523
excel,China,2018-04-14,17606
excel,China,2018-04-15,14794
excel,China,2018-04-16,29332
excel,China,2018-04-17,29408
excel,China,2018-04-18,28906
excel,China,2018-04-19,29305
excel,China,2018-04-20,27369
excel,China,2018-04-21,16838
excel,China,2018-04-22,14708
excel,China,2018-04-23,29956
excel,China,2018-04-24,29288
excel,China,2018-04-25,29210
excel,China,2018-04-26,28365
excel,China,2018-04-27,27356
excel,China,2018-04-28,23606
excel,China,2018-04-29,12721
excel,China,2018-04-30,12436
excel,China,2018-05-01,13431
excel,China,2018-05-02,32555
excel,China,2018-05-03,30807
excel,China,2018-05-04,28242
excel,China,2018-05-05,18059
excel,China,2018-05-06,15929
excel,China,2018-05-07,32478
excel,China,2018-05-08,31582
excel,China,2018-05-09,31117
excel,China,2018-05-10,30978
excel,China,2018-05-11,28249
excel,China,2018-05-12,16297
excel,China,2018-05-13,14199
excel,China,2018-05-14,30855
excel,China,2018-05-15,30320
excel,China,2018-05-16,29639
excel,China,2018-05-17,30356
excel,China,2018-05-18,27745
excel,China,2018-05-19,16809
excel,China,2018-05-20,13914
excel,China,2018-05-21,29592
excel,China,2018-05-22,29975
excel,China,2018-05-23,30146
excel,China,2018-05-24,29164
excel,China,2018-05-25,27327
excel,China,2018-05-26,16241
excel,China,2018-05-27,14348
excel,China,2018-05-28,29688
excel,China,2018-05-29,29511
excel,China,2018-05-30,30278
excel,China,2018-05-31,30290
excel,China,2018-06-01,27902
excel,China,2018-06-02,17770
excel,China,2018-06-03,15792
excel,China,2018-06-04,32762
excel,China,2018-06-05,32485
excel,China,2018-06-06,31241
excel,China,2018-06-07,30968
excel,China,2018-06-08,27906
excel,China,2018-06-09,17207
excel,China,2018-06-10,14981
excel,China,2018-06-11,30825
excel,China,2018-06-12,30299
excel,China,2018-06-13,30181
excel,China,2018-06-14,29047
excel,China,2018-06-15,25823
excel,China,2018-06-16,15501
excel,China,2018-06-17,12535
excel,China,2018-06-18,12453
excel,China,2018-06-19,31833
excel,China,2018-06-20,32853
excel,China,2018-06-21,33363
excel,China,2018-06-22,31593
excel,China,2018-06-23,19148
excel,China,2018-06-24,16631
excel,China,2018-06-25,32257
excel,China,2018-06-26,32763
excel,China,2018-06-27,32808
excel,China,2018-06-28,32254
excel,China,2018-06-29,29746
excel,China,2018-06-30,18012
excel,China,2018-07-01,16887
excel,China,2018-07-02,33001
excel,China,2018-07-03,33111
excel,China,2018-07-04,32683
excel,China,2018-07-05,31244
excel,China,2018-07-06,29046
excel,China,2018-07-07,17123
excel,China,2018-07-08,14475
excel,China,2018-07-09,30499
excel,China,2018-07-10,30193
excel,China,2018-07-11,29654
excel,China,2018-07-12,29151
excel,China,2018-07-13,27558
excel,China,2018-07-14,16639
excel,China,2018-07-15,13696
excel,China,2018-07-16,28557
excel,China,2018-07-17,28086
excel,China,2018-07-18,28293
excel,China,2018-07-19,27745
excel,China,2018-07-20,26157
excel,China,2018-07-21,16113
excel,China,2018-07-22,13498
excel,China,2018-07-23,27974
excel,China,2018-07-24,27090
excel,China,2018-07-25,27342
excel,China,2018-07-26,26198
excel,China,2018-07-27,24014
excel,China,2018-07-28,14309
excel,China,2018-07-29,12801
excel,China,2018-07-30,26428
excel,China,2018-07-31,27301
excel,China,2018-08-01,29810
excel,China,2018-08-02,29036
excel,China,2018-08-03,27489
excel,China,2018-08-04,16105
excel,China,2018-08-05,13404
excel,China,2018-08-06,27585
excel,China,2018-08-07,27651
